Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-11,11820.481660933989,20820.422070517434,16362.465771076735,1020253,Cerdo,Tradicional
2021-06-12,8456.342115557763,18111.77613834834,13360.443015284558,1020253,Cerdo,Tradicional
2021-06-13,1865.2418792947776,11052.415594814167,6303.194323440183,1020253,Cerdo,Tradicional
2021-06-14,5988.744953792898,14822.419078005447,10386.701704543422,1020253,Cerdo,Tradicional
2021-06-15,7881.544931399835,17017.512966227114,12425.170827908025,1020253,Cerdo,Tradicional
2021-06-16,9495.881256179777,18691.354407575644,13969.462669907227,1020253,Cerdo,Tradicional
2021-06-17,10442.791669425504,19520.859029237214,14928.00438479317,1020253,Cerdo,Tradicional
2021-06-11,3500.082000228182,8289.97097613761,5913.521243376687,1020042,Cerdo,Tradicional
2021-06-12,1493.6568383606539,6379.3544534078455,3959.985931348461,1020042,Cerdo,Tradicional
2021-06-13,-5464.116754577946,-685.7854763611128,-3167.9923971716407,1020042,Cerdo,Tradicional
2021-06-14,293.3768456904849,5080.427417048139,2728.2809880595632,1020042,Cerdo,Tradicional
2021-06-15,2110.814388500857,7129.185021930028,4738.957760880717,1020042,Cerdo,Tradicional
2021-06-16,2096.8458159238467,6739.497030572949,4311.90656320624,1020042,Cerdo,Tradicional
2021-06-17,2415.7062585370554,7243.765316016074,4810.479703569279,1020042,Cerdo,Tradicional
2021-06-11,15359.316361730094,27878.241969478717,21556.418992650484,1020027,Cerdo,Tradicional
2021-06-12,11496.20308799435,23781.82123187436,17638.863755028164,1020027,Cerdo,Tradicional
2021-06-13,-3629.657850496247,8894.710956317027,2702.264349898094,1020027,Cerdo,Tradicional
2021-06-14,6186.309513975908,18500.96775650331,12531.544889705667,1020027,Cerdo,Tradicional
2021-06-15,13392.082847474489,25213.09967533609,18775.04274329317,1020027,Cerdo,Tradicional
2021-06-16,13708.307876902332,25761.566845861344,19786.974300389025,1020027,Cerdo,Tradicional
2021-06-17,14741.84029681783,26799.243251432425,20560.700112216757,1020027,Cerdo,Tradicional
2021-06-11,43161.518121927395,75184.79542069911,58797.87862673249,1020013,Cerdo,Tradicional
2021-06-12,27361.51707744409,58582.64947682405,43261.316191729406,1020013,Cerdo,Tradicional
2021-06-13,-16295.892293107388,12846.971703531866,-1177.1125641589242,1020013,Cerdo,Tradicional
2021-06-14,12959.849825856772,41898.231801462556,27892.69264994639,1020013,Cerdo,Tradicional
2021-06-15,26324.681149013235,56566.999263941325,41490.44571217165,1020013,Cerdo,Tradicional
2021-06-16,33433.06227200709,64587.70638089318,49036.050014214525,1020013,Cerdo,Tradicional
2021-06-17,35935.27548845137,67027.45426854756,51323.293542677675,1020013,Cerdo,Tradicional
2021-06-11,22852.64571586132,38956.929986312556,31426.234099529996,1020010,Cerdo,Tradicional
2021-06-12,17773.109696702217,34293.468465906044,26306.09524964984,1020010,Cerdo,Tradicional
2021-06-13,395.2579214950299,17663.747264478316,8877.487015530558,1020010,Cerdo,Tradicional
2021-06-14,14502.646421363976,30155.265842151573,22719.635999829527,1020010,Cerdo,Tradicional
2021-06-15,21194.443912208084,37230.046240984935,29513.424088281994,1020010,Cerdo,Tradicional
2021-06-16,23031.08285189937,38925.14913155555,30905.356652957464,1020010,Cerdo,Tradicional
2021-06-17,23772.736908457802,40650.90912716006,32759.931127447824,1020010,Cerdo,Tradicional
2021-06-11,3024.2567789097743,12865.029749083325,7984.02169171728,1020003,Cerdo,Tradicional
2021-06-12,1060.5753657414598,11708.331183947774,6450.198849722311,1020003,Cerdo,Tradicional
2021-06-13,-6053.358819111613,3848.478240653355,-1216.7113083793056,1020003,Cerdo,Tradicional
2021-06-14,-2463.415989454207,7819.604370375855,2602.849984736384,1020003,Cerdo,Tradicional
2021-06-15,418.2977391424998,11316.747163841272,5528.127883783299,1020003,Cerdo,Tradicional
2021-06-16,1680.5103053601463,12254.229579638712,6973.353792892553,1020003,Cerdo,Tradicional
2021-06-17,2824.931259361004,13419.887553579423,8203.2833612962,1020003,Cerdo,Tradicional
2021-06-11,10585.689027048935,20941.931292147972,15470.668863188854,1020001,Cerdo,Tradicional
2021-06-12,8154.590987948288,18250.675315678873,13189.288073363969,1020001,Cerdo,Tradicional
2021-06-13,-2566.733878699395,7534.572530263018,2463.2390636172713,1020001,Cerdo,Tradicional
2021-06-14,3921.0604937720354,14048.909604737728,8668.641393382835,1020001,Cerdo,Tradicional
2021-06-15,6960.9295372631905,16972.921605838652,11956.948285899085,1020001,Cerdo,Tradicional
2021-06-16,7749.4464575049715,17536.155070742614,12602.101291297538,1020001,Cerdo,Tradicional
2021-06-17,8762.809515057881,18093.870582886677,13595.700667213701,1020001,Cerdo,Tradicional
2021-06-11,5296.034435331579,24330.461461013037,14460.589966752457,1010695,Pollo,Tradicional
2021-06-12,1685.8092287609572,19357.568382274556,10829.8626801868,1010695,Pollo,Tradicional
2021-06-13,-7924.266945143076,10716.61583103118,1289.2017255409883,1010695,Pollo,Tradicional
2021-06-14,-2229.851081333855,16064.638118961515,7281.83045018157,1010695,Pollo,Tradicional
2021-06-15,2616.234364280654,20907.25627878576,11708.931009166437,1010695,Pollo,Tradicional
2021-06-16,4325.906898170004,23478.937829244755,14275.134656264723,1010695,Pollo,Tradicional
2021-06-17,4580.6841876557955,23261.04191312762,13867.257243249614,1010695,Pollo,Tradicional
2021-06-11,30491.953481233617,59991.189356320734,44743.92271400595,1010267,Pollo,Tradicional
2021-06-12,11696.134778332866,40708.56138534966,26588.402968891904,1010267,Pollo,Tradicional
2021-06-13,-19696.550602883253,11090.057375488457,-4040.38890399049,1010267,Pollo,Tradicional
2021-06-14,15012.115857013032,43324.37626301653,29217.475958847837,1010267,Pollo,Tradicional
2021-06-15,31497.911211254646,62642.31914792512,47547.885072044235,1010267,Pollo,Tradicional
2021-06-16,29271.564232693763,58114.69289786213,43656.91364286035,1010267,Pollo,Tradicional
2021-06-17,28477.667688937534,58195.91496850266,43144.29689849984,1010267,Pollo,Tradicional
2021-06-11,132039.493451189,200866.7958378949,166036.47692013788,1010078,Pollo,Tradicional
2021-06-12,79577.75814776636,150044.50947031614,115539.26212010773,1010078,Pollo,Tradicional
2021-06-13,-18621.789363714146,46664.10584395082,14264.681740697517,1010078,Pollo,Tradicional
2021-06-14,54198.261593790296,121341.40851372086,87064.9527812688,1010078,Pollo,Tradicional
2021-06-15,93395.88974477707,157504.3901319278,123637.23369523819,1010078,Pollo,Tradicional
2021-06-16,98533.73804540656,167038.1745634323,133410.92711297958,1010078,Pollo,Tradicional
2021-06-17,111380.45443944784,177281.78301274497,145240.17354939977,1010078,Pollo,Tradicional
2021-06-11,3799.316504015964,10130.560092479158,6912.978534549762,1010077,Pollo,Tradicional
2021-06-12,1966.8495052254536,7757.632116041241,4911.143809965499,1010077,Pollo,Tradicional
2021-06-13,-4498.922278972242,1534.7248499421285,-1596.827916938354,1010077,Pollo,Tradicional
2021-06-14,180.789075754173,5971.246076260468,3023.816191105886,1010077,Pollo,Tradicional
2021-06-15,1640.7825579794046,7605.393522831004,4673.028905375671,1010077,Pollo,Tradicional
2021-06-16,2778.965167692794,8565.40567742031,5606.207654802764,1010077,Pollo,Tradicional
2021-06-17,3469.0403761136654,9688.454864510471,6516.330512011971,1010077,Pollo,Tradicional
2021-06-11,24168.834711021034,65165.29372888522,45106.943355553376,1010048,Pollo,Tradicional
2021-06-12,5552.731254806696,45623.359538720884,25055.318879895916,1010048,Pollo,Tradicional
2021-06-13,-44068.371532413534,-3429.575785407701,-23638.605273460926,1010048,Pollo,Tradicional
2021-06-14,-7594.649182398293,32669.310623168378,13168.692738358051,1010048,Pollo,Tradicional
2021-06-15,6569.693936514085,48714.37771898766,28267.269012430716,1010048,Pollo,Tradicional
2021-06-16,14585.506203111936,55001.522012885405,34498.88203945074,1010048,Pollo,Tradicional
2021-06-17,17802.618932227517,59469.70431252725,38359.618375154474,1010048,Pollo,Tradicional
2021-06-11,23696.81597362672,46912.372501205486,35293.83533188389,1010002,Pollo,Tradicional
2021-06-12,11160.090512938252,33264.22127462887,22354.35256884182,1010002,Pollo,Tradicional
2021-06-13,-20875.529087478848,2091.3057879789,-10051.71051817802,1010002,Pollo,Tradicional
2021-06-14,287.73349269936796,21856.723459337056,10960.31121447419,1010002,Pollo,Tradicional
2021-06-15,10897.831640948654,33534.543844996966,21861.555753663142,1010002,Pollo,Tradicional
2021-06-16,14580.75848874777,35872.69289821602,25420.882934857676,1010002,Pollo,Tradicional
2021-06-17,20346.226901471622,41811.83715021411,31171.88031295473,1010002,Pollo,Tradicional
2021-06-11,11547.112147936572,20774.680914742305,16362.465771076735,1020253,Cerdo,Industriales
2021-06-12,9072.887927635966,18083.213841864086,13360.443015284558,1020253,Cerdo,Industriales
2021-06-13,1674.2677465724612,10659.122751289682,6303.194323440183,1020253,Cerdo,Industriales
2021-06-14,6261.700664359457,15498.695183861764,10386.701704543422,1020253,Cerdo,Industriales
2021-06-15,7938.852944991413,16896.229073484203,12425.170827908025,1020253,Cerdo,Industriales
2021-06-16,9495.723572027933,18359.531924894025,13969.462669907227,1020253,Cerdo,Industriales
2021-06-17,9780.36166884545,19440.44579195384,14928.00438479317,1020253,Cerdo,Industriales
2021-06-11,3387.6356532532895,8567.03436872434,5913.521243376687,1020042,Cerdo,Industriales
2021-06-12,1441.255735491614,6310.1810763342255,3959.985931348461,1020042,Cerdo,Industriales
2021-06-13,-5637.168278982498,-634.9217052375512,-3167.9923971716407,1020042,Cerdo,Industriales
2021-06-14,290.1075376435779,5047.972932753921,2728.2809880595632,1020042,Cerdo,Industriales
2021-06-15,2300.198391294961,7229.237004037377,4738.957760880717,1020042,Cerdo,Industriales
2021-06-16,1814.2423347324018,6919.539172748954,4311.90656320624,1020042,Cerdo,Industriales
2021-06-17,2337.8938469396176,7152.2552992924775,4810.479703569279,1020042,Cerdo,Industriales
2021-06-11,15582.666635864287,27624.474362981462,21556.418992650484,1020027,Cerdo,Industriales
2021-06-12,12358.801199087833,23544.839915005905,17638.863755028164,1020027,Cerdo,Industriales
2021-06-13,-3454.886707053704,8466.682252735784,2702.264349898094,1020027,Cerdo,Industriales
2021-06-14,6382.671802263966,18630.40038160383,12531.544889705667,1020027,Cerdo,Industriales
2021-06-15,12427.3170790431,24923.42784150296,18775.04274329317,1020027,Cerdo,Industriales
2021-06-16,13546.7970745756,25379.506612795412,19786.974300389025,1020027,Cerdo,Industriales
2021-06-17,14981.310420014222,26297.381156800206,20560.700112216757,1020027,Cerdo,Industriales
2021-06-11,43846.363354408204,73618.02854820501,58797.87862673249,1020013,Cerdo,Industriales
2021-06-12,28076.836138992232,58709.40232546026,43261.316191729406,1020013,Cerdo,Industriales
2021-06-13,-17119.15324479876,14415.224357879883,-1177.1125641589242,1020013,Cerdo,Industriales
2021-06-14,11394.081706535737,42402.31083142156,27892.69264994639,1020013,Cerdo,Industriales
2021-06-15,26567.076079943443,55752.165013259015,41490.44571217165,1020013,Cerdo,Industriales
2021-06-16,33454.6156029943,63596.042173263646,49036.050014214525,1020013,Cerdo,Industriales
2021-06-17,35395.40984361262,66000.08020315244,51323.293542677675,1020013,Cerdo,Industriales
2021-06-11,23885.273795550027,39330.52732465716,31426.234099529996,1020010,Cerdo,Industriales
2021-06-12,18255.753100886388,34074.23667181888,26306.09524964984,1020010,Cerdo,Industriales
2021-06-13,1085.4097218904074,17110.376308341554,8877.487015530558,1020010,Cerdo,Industriales
2021-06-14,14901.098430426331,30949.666611521723,22719.635999829527,1020010,Cerdo,Industriales
2021-06-15,21628.298374475216,38372.27240428329,29513.424088281994,1020010,Cerdo,Industriales
2021-06-16,22167.02622923644,38715.01040252551,30905.356652957464,1020010,Cerdo,Industriales
2021-06-17,24820.70655498387,41323.21539465565,32759.931127447824,1020010,Cerdo,Industriales
2021-06-11,2881.7355335742363,13269.41365194856,7984.02169171728,1020003,Cerdo,Industriales
2021-06-12,1391.9586067214684,11784.944318226952,6450.198849722311,1020003,Cerdo,Industriales
2021-06-13,-6469.22263117665,3780.7985567305777,-1216.7113083793056,1020003,Cerdo,Industriales
2021-06-14,-1995.3304416593462,7764.734139307664,2602.849984736384,1020003,Cerdo,Industriales
2021-06-15,778.2668159097824,10457.34550201879,5528.127883783299,1020003,Cerdo,Industriales
2021-06-16,1846.5117670800457,12209.619074547434,6973.353792892553,1020003,Cerdo,Industriales
2021-06-17,3040.6243621243766,13350.578727556303,8203.2833612962,1020003,Cerdo,Industriales
2021-06-11,10463.134752843782,20703.610449309195,15470.668863188854,1020001,Cerdo,Industriales
2021-06-12,8154.807020222613,18360.77637504884,13189.288073363969,1020001,Cerdo,Industriales
2021-06-13,-2734.5233622384744,7743.254965767918,2463.2390636172713,1020001,Cerdo,Industriales
2021-06-14,3351.203925408467,13692.496340507663,8668.641393382835,1020001,Cerdo,Industriales
2021-06-15,7086.661298900622,16830.897830815276,11956.948285899085,1020001,Cerdo,Industriales
2021-06-16,7603.915622946935,17692.641828123917,12602.101291297538,1020001,Cerdo,Industriales
2021-06-17,8739.850616285308,18526.632464775255,13595.700667213701,1020001,Cerdo,Industriales
2021-06-11,5449.066580093559,23905.562351454566,14460.589966752457,1010695,Pollo,Industriales
2021-06-12,746.6106126424347,19421.46381341622,10829.8626801868,1010695,Pollo,Industriales
2021-06-13,-7940.461991506651,10109.474889759837,1289.2017255409883,1010695,Pollo,Industriales
2021-06-14,-2001.1967003269456,15854.596405104967,7281.83045018157,1010695,Pollo,Industriales
2021-06-15,1818.1798931389262,20408.889505758896,11708.931009166437,1010695,Pollo,Industriales
2021-06-16,4201.834764793913,22855.854007352238,14275.134656264723,1010695,Pollo,Industriales
2021-06-17,4377.411333885932,22688.317824905138,13867.257243249614,1010695,Pollo,Industriales
2021-06-11,30178.715989433957,59334.72539890275,44743.92271400595,1010267,Pollo,Industriales
2021-06-12,10896.60915107819,40929.58498755815,26588.402968891904,1010267,Pollo,Industriales
2021-06-13,-20658.67101121884,11383.37759965135,-4040.38890399049,1010267,Pollo,Industriales
2021-06-14,14669.591659069052,44261.14957110206,29217.475958847837,1010267,Pollo,Industriales
2021-06-15,32320.33708856906,62277.14957739657,47547.885072044235,1010267,Pollo,Industriales
2021-06-16,29837.119523683516,59038.41450383605,43656.91364286035,1010267,Pollo,Industriales
2021-06-17,28495.06027591984,58323.903444773285,43144.29689849984,1010267,Pollo,Industriales
2021-06-11,132938.1453487202,199625.0509272578,166036.47692013788,1010078,Pollo,Industriales
2021-06-12,81304.85885289994,150496.2823037983,115539.26212010773,1010078,Pollo,Industriales
2021-06-13,-21220.42122676451,48012.2776105412,14264.681740697517,1010078,Pollo,Industriales
2021-06-14,54080.35953555063,123383.51215448735,87064.9527812688,1010078,Pollo,Industriales
2021-06-15,90501.36228414538,158849.50246713357,123637.23369523819,1010078,Pollo,Industriales
2021-06-16,100877.1700121366,168452.81723681602,133410.92711297958,1010078,Pollo,Industriales
2021-06-17,107420.58214710136,181346.60503379817,145240.17354939977,1010078,Pollo,Industriales
2021-06-11,4027.0360462343237,9930.910253543065,6912.978534549762,1010077,Pollo,Industriales
2021-06-12,1789.9691642473758,7855.647181019599,4911.143809965499,1010077,Pollo,Industriales
2021-06-13,-4614.67780276425,1310.8513595434886,-1596.827916938354,1010077,Pollo,Industriales
2021-06-14,23.173844531338805,6013.517947852898,3023.816191105886,1010077,Pollo,Industriales
2021-06-15,1577.4205837754357,7938.0021190325315,4673.028905375671,1010077,Pollo,Industriales
2021-06-16,2422.4383153559343,8761.040639433557,5606.207654802764,1010077,Pollo,Industriales
2021-06-17,3382.3743182653143,9744.707240640293,6516.330512011971,1010077,Pollo,Industriales
2021-06-11,25010.123943429182,65257.49228683552,45106.943355553376,1010048,Pollo,Industriales
2021-06-12,5222.00694398044,46691.823917064554,25055.318879895916,1010048,Pollo,Industriales
2021-06-13,-44931.58988667871,-2288.5829974237417,-23638.605273460926,1010048,Pollo,Industriales
2021-06-14,-6572.178849713468,32797.30351761291,13168.692738358051,1010048,Pollo,Industriales
2021-06-15,7263.717113348673,47868.821728223185,28267.269012430716,1010048,Pollo,Industriales
2021-06-16,15447.701776875852,54997.08982618844,34498.88203945074,1010048,Pollo,Industriales
2021-06-17,19526.42743971226,58576.22282677859,38359.618375154474,1010048,Pollo,Industriales
2021-06-11,23947.74225317752,46426.69503690157,35293.83533188389,1010002,Pollo,Industriales
2021-06-12,11338.146449307416,33445.89278773251,22354.35256884182,1010002,Pollo,Industriales
2021-06-13,-21626.93640165314,907.3112982493631,-10051.71051817802,1010002,Pollo,Industriales
2021-06-14,-436.76649163067185,22433.591084554137,10960.31121447419,1010002,Pollo,Industriales
2021-06-15,10935.27458062111,32749.383673367567,21861.555753663142,1010002,Pollo,Industriales
2021-06-16,14150.676090717177,36711.549166702476,25420.882934857676,1010002,Pollo,Industriales
2021-06-17,19777.40114984079,42683.72869046246,31171.88031295473,1010002,Pollo,Industriales
2021-06-11,11747.195732465494,20979.889813581878,16362.465771076735,1020253,Cerdo,Grandes Clientes
