Cliente - Local.1;Oficina de Ventas Unifica;Subtipo de cliente;Cluster BW
3200104287;T105;Espec. en Crudos;Sin asignar
3200154991;T105;Espec. en Crudos;Clásico
3200153241;T105;Espec. en Crudos;Clásico
20064;T105;Espec. en Crudos;Clásico
46142;T105;Espec. en Crudos;Clásico
3200148795;T105;Espec. en Crudos;Sin asignar
3200124590;T105;Emprendedores;Clásico
3200085870;T105;Emprendedores;Clásico
29388;T105;Espec. en Crudos;Clásico
3200118669;T105;Espec. en Crudos;Clásico
3200121696;T105;Espec. en Crudos;Clásico
3200013002;T105;Espec. en Crudos;Clásico
3200121687;T105;Espec. en Procesados;Clásico
91042;T105;Multiespecialista;Premium
3200117435;T105;Emprendedores;Clásico
5571;T105;Emprendedores;Clásico
3200109351;T105;Espec. en Crudos;Clásico
37645;T105;Espec. en Crudos;Clásico
3200127382;T105;Espec. en Crudos;Premium
3200112881;T105;Espec. en Procesados;Clásico
36615;T105;Multiespecialista;Clásico
52022;T105;Multiespecialista;Premium
3200167757;T105;Espec. en Crudos;Clásico
90363;T105;Espec. en Crudos;Clásico
3200027162;T105;Multiespecialista;Clásico
3200134060;T105;Multiespecialista;Clásico
3200122849;T105;Multiespecialista;Premium
3200102010;T105;Espec. en Procesados;Clásico
3200004835;T105;Multiespecialista;Clásico
90811;T105;Multiespecialista;Premium
41807;T105;Multiespecialista;Premium
75465;T105;Multiespecialista;Premium
3200132491;T105;Multiespecialista;Premium
3200071290;T105;Multiespecialista;Premium
3200148279;T105;Multiespecialista;Sin asignar
3200018331;T105;Emprendedores;Clásico
3200139317;T105;Espec. en Crudos;Clásico
82316;T105;Espec. en Crudos;Clásico
3200146894;T105;Espec. en Crudos;Sin asignar
3200001604;T105;Multiespecialista;Clásico
3200158845;T105;Multiespecialista;Clásico
3200139699;T105;Multiespecialista;Clásico
3200080994;T105;Multiespecialista;Premium
36584;T105;Multiespecialista;Premium
86698;T105;Multiespecialista;Clásico
3200062779;T105;Multiespecialista;Clásico
31084;T105;Multiespecialista;Premium
3200051452;T105;Emprendedores;Clásico
3200129280;T105;Espec. en Crudos;Clásico
7054;T105;Espec. en Crudos;Clásico
3200155253;T105;Espec. en Crudos;Clásico
3200083743;T105;Espec. en Procesados;Clásico
3200082672;T105;Multiespecialista;Clásico
3200055979;T105;Espec. en Crudos;Premium
3200054336;T105;Multiespecialista;Clásico
3200008795;T105;Espec. en Crudos;Clásico
36038;T105;Espec. en Crudos;Clásico
44379;T105;Espec. en Crudos;Clásico
3200108261;T105;Espec. en Crudos;Clásico
9657;T105;Multiespecialista;Clásico
3200133517;T105;Multiespecialista;Clásico
3200131691;T105;Espec. en Crudos;Clásico
14541;T105;Multiespecialista;Premium
11995;T105;Emprendedores;Clásico
6293;T105;Espec. en Crudos;Clásico
3200071534;T105;Espec. en Procesados;Clásico
23822;T105;Espec. en Procesados;Premium
3200072431;T105;Multiespecialista;Clásico
3200009888;T105;Multiespecialista;Premium
3200146089;T105;Multiespecialista;Sin asignar
3200133771;T105;Espec. en Crudos;Premium
20656;T105;Multiespecialista;Clásico
84333;T105;Multiespecialista;Clásico
78184;T105;Espec. en Crudos;Clásico
3200124725;T105;Espec. en Crudos;Clásico
3200083725;T105;Espec. en Crudos;Premium
82027;T105;Espec. en Crudos;Premium
3200151085;T105;Espec. en Crudos;Sin asignar
3200099637;T105;Espec. en Procesados;Clásico
67425;T105;Vendedores;Clásico
3200160798;T105;Emprendedores;Clásico
3200129940;T105;Emprendedores;Clásico
15050;T105;Espec. en Crudos;Clásico
3200157297;T105;Espec. en Crudos;Clásico
42418;T105;Espec. en Procesados;Clásico
3200103418;T105;Multiespecialista;Premium
3200102390;T105;Emprendedores;Clásico
15756;T105;Emprendedores;Clásico
3200176705;T105;Espec. en Crudos;Clásico
3200079094;T105;Espec. en Crudos;Premium
79603;T105;Espec. en Crudos;Premium
3200078035;T105;Espec. en Crudos;Premium
3200151253;T105;Espec. en Crudos;Sin asignar
3200079052;T105;Multiespecialista;Premium
59679;T105;Multiespecialista;Premium
3200085205;T105;Multiespecialista;Sin asignar
27290;T105;Espec. en Crudos;Clásico
60964;T105;Espec. en Procesados;Premium
44833;T105;Espec. en Crudos;Premium
3200039585;T105;Espec. en Procesados;Clásico
3200119453;T105;Multiespecialista;Premium
3200091182;T105;Emprendedores;Clásico
3200006707;T105;Espec. en Crudos;Clásico
3200121998;T105;Espec. en Crudos;Clásico
26324;T105;Espec. en Procesados;Clásico
30941;T105;Multiespecialista;Clásico
70089;T105;Emprendedores;Clásico
3200142128;T105;Emprendedores;Sin asignar
28130;T105;Espec. en Crudos;Clásico
3200143285;T105;Espec. en Crudos;Sin asignar
3200158872;T105;Espec. en Procesados;Premium
13210;T105;Multiespecialista;Clásico
3200063977;T105;Multiespecialista;Clásico
3200039386;T105;Multiespecialista;Clásico
3200018326;T105;Multiespecialista;Clásico
3200080009;T105;Multiespecialista;Premium
62093;T105;Emprendedores;Clásico
16393;T105;Emprendedores;Clásico
3200154124;T105;Espec. en Crudos;Clásico
3200078039;T105;Espec. en Crudos;Clásico
3200004836;T105;Espec. en Crudos;Clásico
3200122892;T105;Espec. en Crudos;Premium
3200160822;T105;Espec. en Procesados;Clásico
3200123232;T105;Espec. en Procesados;Premium
3200138379;T105;Espec. en Crudos;Clásico
3200111787;T105;Espec. en Crudos;Clásico
3200123696;T105;Espec. en Crudos;Clásico
3200100902;T105;Espec. en Crudos;Premium
3200105265;T105;Espec. en Crudos;Premium
58500;T105;Espec. en Crudos;Premium
3200073875;T105;Espec. en Crudos;Premium
3200072095;T105;Espec. en Crudos;Premium
3200072007;T105;Espec. en Crudos;Premium
3200074576;T105;Espec. en Crudos;Premium
3200132937;T105;Espec. en Crudos;Premium
42441;T105;Espec. en Crudos;Premium
3200165221;T105;Espec. en Procesados;Premium
3200115880;T105;Multiespecialista;Clásico
38414;T105;Espec. en Procesados;Clásico
3200154136;T105;Multiespecialista;Clásico
3200136995;T105;Emprendedores;Clásico
3200167575;T105;Espec. en Crudos;Clásico
3200005156;T105;Espec. en Crudos;Sin asignar
3200102239;T105;Multiespecialista;Premium
3200114720;T105;Emprendedores;Clásico
38444;T105;Espec. en Crudos;Sin asignar
3200158138;T105;Emprendedores;Clásico
3200161810;T105;Emprendedores;Clásico
51882;T105;Emprendedores;Premium
3200146482;T105;Emprendedores;Sin asignar
3200153683;T105;Espec. en Crudos;Clásico
3200110242;T105;Multiespecialista;Clásico
33511;T105;Multiespecialista;Clásico
3200159262;T105;Multiespecialista;Clásico
39813;T105;Multiespecialista;Clásico
3200145758;T105;Multiespecialista;Clásico
3200071285;T105;Multiespecialista;Premium
3200133185;T105;Multiespecialista;Premium
59596;T105;Multiespecialista;Premium
70619;T105;Espec. en Crudos;Clásico
3200168632;T105;Emprendedores;Premium
3200154547;T105;Espec. en Crudos;Clásico
3200079283;T105;Espec. en Crudos;Clásico
3200009654;T105;Multiespecialista;Clásico
34079;T105;Multiespecialista;Premium
40630;T105;Espec. en Procesados;Clásico
46924;T105;Emprendedores;Clásico
3200116918;T105;Espec. en Crudos;Clásico
3200100273;T105;Espec. en Crudos;Clásico
22236;T105;Espec. en Crudos;Clásico
19025;T105;Espec. en Crudos;Clásico
3200110278;T105;Emprendedores;Clásico
3200040900;T105;Espec. en Procesados;Clásico
3200152631;T105;Emprendedores;Premium
8703;T105;Espec. en Crudos;Clásico
22476;T105;Espec. en Crudos;Clásico
3200139928;T105;Espec. en Crudos;Premium
24563;T105;Multiespecialista;Clásico
1831;T105;Multiespecialista;Premium
3200147248;T105;Espec. en Crudos;Sin asignar
3200017088;T105;Espec. en Crudos;Clásico
3200105811;T105;Espec. en Crudos;Clásico
3200146319;T105;Espec. en Crudos;Sin asignar
13846;T105;Multiespecialista;Clásico
3200056186;T105;Espec. en Crudos;Clásico
3200147500;T105;Espec. en Crudos;Sin asignar
3200147236;T105;Multiespecialista;Clásico
3200011133;T105;Multiespecialista;Clásico
3200167177;T105;Emprendedores;Clásico
3200078188;T105;Espec. en Procesados;Clásico
1460;T105;Multiespecialista;Clásico
3200145951;T105;Espec. en Crudos;Clásico
3200087115;T105;Espec. en Crudos;Clásico
3200134872;T105;Espec. en Crudos;Clásico
2495;T105;Espec. en Procesados;Clásico
3200152471;T105;Emprendedores;Clásico
3200073435;T105;Emprendedores;Clásico
3200083606;T105;Espec. en Procesados;Clásico
3200137871;T105;Espec. en Procesados;Premium
21305;T105;Espec. en Crudos;Clásico
3200129422;T105;Espec. en Procesados;Clásico
3200091694;T105;Espec. en Crudos;Clásico
24576;T105;Espec. en Crudos;Clásico
3200140871;T105;Espec. en Crudos;Sin asignar
3200096219;T105;Espec. en Procesados;Clásico
36167;T105;Espec. en Procesados;Clásico
3200087611;T105;Multiespecialista;Clásico
3200092176;T105;Espec. en Procesados;Clásico
3200129974;T105;Emprendedores;Premium
91248;T105;Espec. en Crudos;Clásico
3200007676;T105;Espec. en Crudos;Clásico
89617;T105;Espec. en Crudos;Clásico
3200132062;T105;Espec. en Crudos;Clásico
3200156740;T105;Espec. en Crudos;Clásico
48358;T105;Espec. en Crudos;Clásico
3200111401;T105;Espec. en Crudos;Premium
3200115967;T105;Espec. en Crudos;Premium
3200121340;T105;Espec. en Crudos;Premium
3200112371;T105;Espec. en Crudos;Premium
3200098958;T105;Espec. en Crudos;Premium
24521;T105;Espec. en Crudos;Sin asignar
3200097773;T105;Emprendedores;Clásico
3200140741;T105;Espec. en Crudos;Clásico
3200059241;T105;Espec. en Crudos;Clásico
3200107841;T105;Espec. en Crudos;Clásico
3200084137;T105;Espec. en Crudos;Clásico
3200077796;T105;Espec. en Crudos;Premium
3200115484;T105;Espec. en Crudos;Clásico
3200173952;T105;Espec. en Crudos;Clásico
3200079073;T105;Espec. en Crudos;Clásico
3200074431;T105;Espec. en Crudos;Sin asignar
3200142731;T105;Espec. en Crudos;Clásico
3200137843;T105;Emprendedores;Clásico
3200133117;T105;Espec. en Crudos;Clásico
3200177015;T105;Espec. en Crudos;Clásico
3200169247;T105;Emprendedores;Clásico
54487;T105;Espec. en Crudos;Clásico
43077;T105;Espec. en Crudos;Clásico
62144;T105;Espec. en Crudos;Sin asignar
2317;T105;Multiespecialista;Premium
3200044100;T105;Multiespecialista;Premium
3857;T105;Multiespecialista;Premium
45576;T105;Espec. en Crudos;Clásico
3200158500;T105;Espec. en Crudos;Clásico
3200094168;T105;Espec. en Crudos;Clásico
3200095490;T105;Espec. en Crudos;Clásico
3200132597;T105;Espec. en Crudos;Premium
31568;T105;Multiespecialista;Clásico
77469;T105;Espec. en Crudos;Clásico
3200178711;T105;Espec. en Crudos;Clásico
68332;T105;Espec. en Crudos;Clásico
3200136158;T105;Espec. en Crudos;Premium
3200146002;T105;Espec. en Crudos;Sin asignar
75660;T105;Multiespecialista;Premium
3200149812;T105;Multiespecialista;Sin asignar
3200065193;T105;Espec. en Procesados;Clásico
3200126325;T105;Emprendedores;Clásico
6488;T105;Emprendedores;Clásico
3200082700;T105;Espec. en Procesados;Clásico
3200173589;T105;Espec. en Crudos;Clásico
10343;T105;Espec. en Crudos;Clásico
3200173717;T105;Espec. en Crudos;Clásico
3200173935;T105;Espec. en Crudos;Clásico
3200110480;T105;Espec. en Crudos;Clásico
3200131936;T105;Espec. en Crudos;Premium
3200141857;T105;Espec. en Crudos;Sin asignar
3200143778;T105;Espec. en Crudos;Sin asignar
3200133325;T105;Multiespecialista;Clásico
55205;T105;Multiespecialista;Premium
3200056271;T105;Espec. en Procesados;Clásico
3200005877;T105;Multiespecialista;Premium
3200174117;T105;Emprendedores;Clásico
3200158214;T105;Espec. en Crudos;Clásico
3200081136;T105;Espec. en Crudos;Clásico
3200110151;T105;Espec. en Crudos;Clásico
3200115339;T105;Espec. en Procesados;Clásico
3200025841;T105;Espec. en Crudos;Clásico
32575;T105;Espec. en Crudos;Clásico
3200159049;T105;Multiespecialista;Clásico
3200119128;T105;Multiespecialista;Premium
3200051026;T105;Multiespecialista;Premium
3200120098;T105;Espec. en Procesados;Clásico
35156;T105;Espec. en Procesados;Clásico
3200091850;T105;Multiespecialista;Premium
3200115289;T105;Espec. en Crudos;Premium
3200089238;T105;Espec. en Procesados;Clásico
35592;T105;Emprendedores;Clásico
58388;T105;Multiespecialista;Premium
3200158238;T105;Multiespecialista;Premium
3200151635;T105;Multiespecialista;Clásico
14352;T105;Emprendedores;Clásico
3200110652;T105;Espec. en Procesados;Clásico
3200145293;T105;Espec. en Procesados;Sin asignar
3200111596;T105;Multiespecialista;Clásico
3200039219;T105;Multiespecialista;Clásico
13454;T105;Multiespecialista;Clásico
43262;T105;Espec. en Procesados;Clásico
3200167715;T105;Emprendedores;Clásico
58651;T105;Espec. en Crudos;Premium
35983;T105;Espec. en Procesados;Clásico
3200162260;T105;Espec. en Procesados;Premium
89012;T105;Emprendedores;Clásico
3200178008;T105;Espec. en Crudos;Clásico
29233;T105;Espec. en Procesados;Clásico
3200080482;T105;Espec. en Crudos;Premium
76450;T105;Espec. en Crudos;Clásico
3200132670;T105;Espec. en Crudos;Premium
3200100115;T105;Emprendedores;Clásico
3200109750;T105;Multiespecialista;Clásico
3200006219;T105;Multiespecialista;Clásico
28747;T105;Multiespecialista;Premium
3200168037;T105;Emprendedores;Premium
3200102208;T105;Espec. en Crudos;Clásico
3200143451;T105;Emprendedores;Sin asignar
22765;T105;Espec. en Crudos;Clásico
75657;T105;Espec. en Procesados;Clásico
39500;T105;Espec. en Procesados;Clásico
3200149470;T105;Espec. en Procesados;Sin asignar
3200006541;T105;Multiespecialista;Clásico
73134;T105;Multiespecialista;Clásico
3200018324;T105;Espec. en Crudos;Clásico
3200142727;T105;Espec. en Procesados;Clásico
3200109614;T105;Espec. en Crudos;Clásico
19819;T105;Espec. en Crudos;Clásico
3200106889;T105;Espec. en Crudos;Premium
3200149886;T105;Espec. en Crudos;Sin asignar
2684;T105;Multiespecialista;Clásico
3200025543;T105;Multiespecialista;Clásico
3200145770;T105;Multiespecialista;Sin asignar
